"ID","Model1_AICc","Model1_BIC","Model2_AICc","Model2_BIC"
1,5.32388494841337,8.91357255433158,-38.0624146049462,-34.128664781343
2,17.5672112375014,21.1568988434196,-4.09644911466689,-0.162699291063596
3,54.9403221395723,58.5300097454905,31.057745379218,34.9914952028213
4,46.1742023351058,50.1789918617545,8.89177563485404,13.3977625431648
5,59.9378669751855,63.0654912225095,62.9490517711339,66.2395344612413
6,-27.0395911230022,-23.4499035170839,-64.1341300539178,-60.2003802303145
7,26.8866431683981,30.4763307743163,-24.8993298443425,-20.9655800207392
8,0.922707416954724,4.51239502287293,-33.5362454306996,-29.6024956070963
9,-39.0071080493583,-35.4174204434401,-59.0477361877481,-55.1139863641448
10,-16.9242540427794,-13.3345664368612,-43.5285111505865,-39.5947613269832
11,17.4502112082929,21.0398988142111,-41.2509808114107,-37.3172309878074
12,-12.274854609735,-8.68516700381675,-52.7671267189021,-48.8333768952988
13,-0.524824407748349,3.06486319816986,-43.0186058490613,-39.084856025458
14,11.7679183315294,15.3576059374476,14.4002201936999,18.3339700173032
15,5.79350310709413,9.38319071301234,7.01036027656485,10.9441101001681
16,45.5365392894173,49.1262268953355,4.28300622522898,8.21675604883228
17,45.0261673723353,48.3913330181708,44.2345673739633,47.8566088468421
18,-60.3211086798691,-56.7314210739509,-59.2729034817432,-55.3391536581399
19,-22.1642715102132,-18.574583904295,-31.5829621437638,-27.6492123201605
20,15.6001997966383,19.1898874025565,17.0893991061247,21.023148929728
21,45.157623611001,38.3679639829772,51.2797986832153,37.7927241481855
22,-44.0859401469859,-40.4962525410677,-63.6311882093022,-59.6974383856989
23,8.61943030876095,10.2975200596546,-22.8033605419374,-21.5807483533203
24,63.1691457956635,66.9716624489427,55.4752383261713,59.7030218239297
25,63.7786833318766,66.9063075792006,46.5031947595344,49.7936774496418
26,71.5774058232275,74.7050300705515,58.1955118926753,61.4859945827827
27,27.5236631974781,29.5348918344408,4.94714241741034,6.65235468420192
28,26.7786713936256,29.09842603512,-1.74608446503966,0.401974849900208
29,53.3247395648953,55.6444942063896,31.975233506727,34.1232928216669
30,44.2581522562457,46.57790689774,30.7682086778612,32.9162679928011
31,2.38167299199522,4.05976274288891,-4.55753704361503,-3.33492485499791
32,64.2545340442799,67.1300373437527,56.8199307876614,59.7564151751603
33,47.8327441415247,50.1524987830191,39.1675463844154,41.3156056993553
34,57.1830214422122,59.5027760837066,46.7762877563404,48.9243470712802
35,50.5830238286139,54.9644859583314,40.4831249401452,45.5041121464516
36,53.3444433579651,56.2199466574379,37.4796430759221,40.416127463421
37,68.1921010682288,70.5118557097232,54.4743973276854,56.6224566426253
38,75.4895595239531,77.8093141654475,61.3632654215015,63.5113247364414
39,56.6435753683258,58.9633300098202,42.1371951506938,44.2852544656337
40,13.1564252234027,14.8345149742964,-5.68992633798403,-4.46731414936692
41,42.5951834283463,44.6064120653089,23.0569235998021,24.7621358665937
42,70.371202772767,74.7526649024845,63.8785564274992,68.8995436338056
43,32.0651551681077,33.7432449190014,18.1609479363762,19.3835601249933
44,27.7043833267216,30.024137968216,-13.1110666426473,-10.9630073277074
45,28.1275105457914,24.3528514306577,27.1555460547559,19.5800793036959
46,16.6750378777425,16.674557920634,0.409440786492242,-0.879037947772131
47,21.0595337456721,19.891734550081,16.9234216779214,13.7970060167657
48,30.9540358757729,29.7862366801818,30.4626386737684,27.3362230126128
49,34.0887671509186,32.2005520249352,27.4984625424581,23.1937491905344
50,34.8794999795737,33.7117007839826,30.4363893169808,27.3099736558252
51,27.8739684946905,25.1337659245366,22.8623014701619,17.115619686041
52,26.2959027323137,22.52124361718,22.214192746184,14.638725995124
53,24.1071858214639,21.36698325131,20.0128474808553,14.2661656967344
54,31.8812238944442,29.9930087684608,30.2719727384896,25.9672593865659
55,20.520484070028,18.6322689440446,17.9167093578422,13.6119960059185
56,26.6582590023084,26.1122502549039,14.8359467704028,12.6988903816017
57,46.6361495376383,46.0901407902338,46.545380804474,44.4083244156729
58,47.9614899972853,47.4154812498808,42.8560489751295,40.7189925863284
59,38.9992071837195,38.998727226611,42.851603240189,41.5631245059246
60,49.0670821167589,48.5210733693543,40.8324686222038,38.6954122334027
61,43.2511530457595,42.0833538501684,39.4062099158394,36.2797942546838
62,23.6330271387083,21.7448120127249,21.5182866590408,17.2135733071171
63,29.8777731207923,27.1375705506385,23.7692875407564,18.0226057566355
64,45.4760222066138,44.9300134592093,44.7243002030587,42.5872438142577
65,44.0483421889596,42.8805429933684,41.7952853435383,38.6688696823827
66,37.3795505831701,36.8335418357656,32.6101320851944,30.4730756963933
67,48.0265574754064,46.8587582798152,47.8998673586473,44.7734516974917
68,56.2320920719903,56.2316121148818,54.6187322555052,53.3302535212408
69,55.3017509376821,54.7557421902776,48.9112933612174,46.7742369724163
70,58.8211927524531,57.653393556862,53.9102534645962,50.7838378034406
71,74.7244053508501,73.556606155259,75.3582117738876,72.231796112732
72,49.067206418403,49.0667264612945,43.4248032202296,42.1363244859652
73,43.6607257104335,43.6602457533251,39.1580862107607,37.8696074764964
74,31.7756976153137,30.6078984197225,27.0075581922548,23.8811425310992
75,40.3938721077702,39.8478633603657,37.7225468764987,35.5854904876976
76,40.988182796043,40.4421740486385,36.9964084782571,34.859352089456
77,28.6384661196581,27.4706669240669,22.0429706839415,18.9165550227859
78,28.9606761508994,28.4146674034949,20.0729899975573,17.9359336087563
79,62.7929863777644,63.2775503324259,62.7285941735422,62.180452963023
80,66.575220287863,67.0597842425246,63.3883074729964,62.8401662624772
81,37.4343697304167,36.8883609830122,32.9143463414164,30.7772899526153
82,65.472367592748,65.4718876356395,61.5602634259097,60.2717846916453
83,61.5652500701888,62.0498140248504,57.700057898153,57.1519166876338
84,33.0446284637886,31.8768292681974,30.1704192018658,27.0440035407102
85,39.2361497419897,38.0683505463985,34.9542114211435,31.8277957599879
86,58.9644191079444,59.448983062606,58.3715876480933,57.8234464375741
87,49.271457117697,49.2709771605885,46.1656770223304,44.877198288066
88,47.9640306235465,47.963550666438,42.6839051879562,41.3954264536918
89,113.213884877621,120.16779592216,112.909147036311,121.361017803131
90,92.4667473491233,99.6063570047681,89.8380543473857,98.5329745802071
91,95.5803594446674,103.46324317782,60.2376344929296,69.9006765459399
92,68.7079384621552,76.8108197253429,60.8234676077427,70.7717413178749
93,146.215409640413,153.618383942521,143.234833259173,152.273619010111
94,19.4869334009429,10.2758317102877,13.0656910176855,-5.94818609563337
95,32.9141196738194,19.8985525072055,45.5007051710289,15.8979128794281
96,39.8797090908588,37.9914939648754,26.2976192081391,21.9929058562154
97,34.9492733408153,29.8741877653421,26.9127173403179,16.9021937043098
98,26.6338179213633,17.4227162307082,35.8894418732153,16.8755647598964
99,23.5511089805328,14.3400072898777,23.4035570048811,4.38967989156218
100,16.0371216418059,9.24746201378211,14.4837612080712,0.99668667304142
102,31.9146420676028,29.1744394974489,21.0980024904205,15.3513207062996
103,14.7342889364457,11.9940863662918,8.06042166013954,2.31373987601865
104,24.1930275502407,20.418368435107,2.64434328987667,-4.93112346118333
105,20.6141316603555,11.4030299697003,28.260033193829,9.2461560805101
106,29.353838374255,22.5641787462312,34.5977070481134,21.1106325130836
108,32.4415432358208,29.7013406656669,10.1033613557977,4.35667957167681
109,15.097057706423,11.3223985912893,21.1525001770537,13.5770334259937
110,6.11498839790375,1.03990282243057,12.3784308281117,2.36790719210356
111,12.2872663383057,3.07616464765054,20.4701778984323,1.45630078511343
112,29.8028586844968,24.7277731090236,36.6880293990817,26.6775057630735
114,10.7459981631253,3.95633853510149,13.3741261680092,-0.112948367020595
115,30.1595382382087,27.4193356680548,26.5770030028515,20.8303212187306
116,20.1974652751945,16.4228061600608,20.2034637706429,12.6279970195829
117,18.9018551520106,9.69075346135546,22.2924171977093,3.27854008439037
118,35.7283481789216,30.6532626034485,40.7141386162434,30.7036149802353
120,21.3643767921254,16.2892912166522,7.41696048800645,-2.5935631480017
121,31.3279636953873,28.5877611252334,27.8362400234306,22.0895582393098
122,3.69536546044984,-0.0792936546838785,4.38127286841756,-3.19419388264244
123,11.5308656620383,-1.48470150457572,16.102879285868,-13.4999130057328
124,34.5833087755823,27.7936491475585,30.4125060331926,16.9254314981628
126,40.9666524859656,38.2264499158117,26.3446425508178,20.5979607666969
127,20.0484305855337,14.9733450100605,26.3513530691629,16.3408294331547
128,18.3854495728536,14.6107904577199,24.353293423794,16.777826672734
129,30.0030483092291,20.791946618574,35.2540436645943,16.2401665512754
130,26.11455843886,19.3248988108362,16.797237553979,3.31016301894923
132,42.8701328270149,40.1299302568611,24.1098085202141,18.3631267360932
133,31.7219236669789,27.9472645518452,31.5432383944632,23.9677716434032
134,31.6294307141551,24.8397710861313,21.4173985979746,7.93032406294479
135,24.702178997938,11.686611831324,34.3913455472177,4.78855325561691
136,26.3627761920595,19.5731165640357,28.5661187854461,15.0790442504163
138,28.5049578794212,26.6167427534378,12.2873540128017,7.98264066087796
139,24.4682124481847,20.693553333051,18.2307220039688,10.6552552529088
140,19.8188274284791,10.607725737824,25.8045147493128,6.79063763599388
142,38.4447646687698,29.2336629781146,34.8525175675699,15.838640454251
144,45.3990592636739,42.6588566935201,23.6445605691643,17.8978787850434
145,31.033756621449,27.2590975063153,31.482914710926,23.907447959866
146,22.0744695220971,12.863367831442,24.2386489858477,5.22477187252884
147,22.7943949570626,13.5832932664074,21.8858332732721,2.87195615995325
148,30.8166498834762,24.0269902554524,16.4294379647261,2.94236342969629
149,45.3750046644268,43.4867895384434,25.741180116429,21.4364667645053
151,32.5316201165821,25.7419604885582,29.971634923549,16.4845603885192
152,23.4829102489166,14.2718085582615,31.2343658238388,12.2204887105199
153,21.2946721625973,8.27910499598327,32.4316597620047,2.82886747040391
154,30.4214758620741,23.6318162340503,13.3326377573535,-0.154436777676288
156,32.658576804737,29.9183742345831,10.7640038001238,5.01732201600292
157,23.3265573610976,19.5518982459639,23.9374288903726,16.3619621393126
158,25.0031191094389,11.9875519428249,40.0550820071165,10.4522897155157
159,32.1180357405598,19.1024685739458,36.2067977827983,6.60400549119752
160,34.8673213910241,25.656219700369,25.3971375754677,6.38326046214882
162,43.5375679090177,38.4624823335445,27.0562574949922,17.0457338589841
163,38.1124891118661,33.0374035363929,32.5515061580213,22.5409825220131
164,31.4439668857116,22.2328651950564,30.4569296871892,11.4430525738703
165,31.1670094620472,24.3773498340234,5.3524496763158,-8.13462485871397
172,30.2562571928637,21.0451555022086,33.7719885094435,14.7581113961246
173,3.90946311452955,-5.30163857612557,14.7252525062376,-4.28862460708125
204,20.6555680348074,7.64000086819345,32.4946409577369,2.89184866613611
211,22.0708056453726,9.05523847875859,22.6915228952374,-6.91126939636339
216,7.67731075414696,8.59792381366987,9.85048989187451,9.9573001723221
217,24.7641196032686,22.0239170331147,24.1543730445799,18.407691260459
219,30.2408524531915,23.4511928251676,33.7573794251557,20.2703048901259
220,-126.68681922501,-126.687299182118,-125.728126873382,-127.016605607646
221,7.76167814384475,5.0214755736909,7.55342296302813,1.80674117890724
222,14.2664326249976,5.05533093434248,-5.6402010599537,-24.6540781732726
223,46.7283315322987,44.8401164063153,27.0211844295659,22.7164710776422
224,39.5643809560903,34.4892953806171,38.8666747560846,28.8561511200764
225,-115.178580044567,-115.724588791971,-111.566843482464,-113.703899871265
226,29.3179613325092,29.8025252871708,13.3493642453092,12.80122303479
227,25.4477357423735,21.6730766272398,31.7203746978546,24.1449079467946
228,24.3270141984682,15.115912507813,35.2562659668302,16.2423888535113
229,-62.7985298347632,-69.588189462787,-54.3385633311343,-67.8256378661641
230,-118.619711293005,-119.165720040409,-114.865018187593,-117.002074576394
231,12.4190593950498,12.4185794379414,11.1501026172305,9.86162388296608
232,18.8197533266118,13.7446677511386,20.1954518791664,10.1849282431582
233,31.4586137343607,18.4430465677467,42.6454397412868,13.042647449686
235,22.7135118523279,9.69794468571389,23.5255464475669,-6.07724584403396
236,24.0909665478859,22.2027514219025,24.0658131433418,19.7610997914181
237,35.8549283946002,29.0652687665764,40.4275291991828,26.940454664153
238,23.4844038033064,10.4688366366924,35.4624120615259,5.85961976992512
239,29.0365601624038,19.8254584717487,38.6463513492584,19.6324742359395
240,41.9644884007099,32.7533867100548,53.9296524684069,34.915775355088
241,-153.472435937398,-152.551822877875,-149.837238050075,-149.730427769627
242,-1.37982040329361,-1.38030036040208,-4.36988822413011,-5.65836695839449
243,29.6123856110385,16.5968184444245,33.8343776297852,4.23158533818435
244,31.7913291132813,18.7757619466673,44.547419601498,14.9446273098972
246,-138.876107052832,-138.39154309817,-135.508543442499,-136.056684653019
