"ID","Quadratic_AICc","Quadratic_BIC","Cubic_AICc","Cubic_BIC","Logistic_AICc","Gompertz_AICc","Baranyi_AICc","Logistic_BIC","Gompertz_BIC","Baranyi_BIC","ThreePhase_AICc","ThreePhase_BIC","Best_Model_AICc","Best_Model_BIC","Quadratic_w","Cubic_w","Logistic_w","Gompertz_w","Baranyi_w","ThreePhase_w","Best_Model"
15,5.79350310709413,9.38319071301234,7.01036027656485,10.9441101001681,1e+06,-8.36244303071627,-4.19577322904404,1e+06,-4.42869320711297,-0.26202340544075,-9.67195045481604,-5.73820063121275,"ThreePhase","ThreePhase",0.000276507189477838,0.000150476697395159,0,0.327816700513013,0.0408178592127762,0.630938456387337,"ThreePhase_w"
16,45.5365392894173,49.1262268953355,4.28300622522898,8.21675604883228,1e+06,-72.7378073603954,-62.2426734596401,1e+06,-68.8040575367921,-58.3089236360368,-34.2923195829929,-30.3585697593896,"Gompertz","Gompertz",2.06430286571429e-26,1.87440873670267e-17,0,0.994767220122444,0.00523277541699083,4.4605649545137e-09,"Gompertz_w"
17,45.0261673723353,48.3913330181708,44.2345673739633,47.8566088468421,1e+06,41.4578905861822,41.4578908435861,1e+06,45.079932059061,45.0799323164649,47.1951059945011,50.8171474673799,"Gompertz","Gompertz",0.0678769246894642,0.100836070452778,0,0.404169573915701,0.404169521898293,0.0229479090437645,"Gompertz_w"
18,-60.3211086798691,-56.7314210739509,-59.2729034817432,-55.3391536581399,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,-55.996829803575,-52.0630799799717,"Quadratic","Quadratic",0.585766420008862,0.346824368923853,0,0,0,0.0674092110672852,"Quadratic_w"
19,-22.1642715102132,-18.574583904295,-31.5829621437638,-27.6492123201605,1e+06,-31.2056691543712,-29.7957810154753,1e+06,-27.2719193307679,-25.862031191872,-6.05428914472683,-2.12053932112353,"Cubic","Cubic",0.00401138250783022,0.44518114365039,0,0.368645238764463,0.182160961410442,1.27366687476842e-06,"Cubic_w"
20,15.6001997966383,19.1898874025565,17.0893991061247,21.023148929728,1e+06,30.9531918105182,30.9531908810744,1e+06,34.8869416341215,34.8869407046777,34.129384208451,38.0631340320543,"Quadratic","Quadratic",0.677531421340877,0.32177620079018,0,0.000314101192181037,0.000314101338150773,6.41753386112908e-05,"Quadratic_w"
21,45.157623611001,38.3679639829772,51.2797986832153,37.7927241481855,1e+06,51.8320962257757,51.8372524215343,1e+06,38.345021690746,38.3501778865046,51.7734497591533,38.2863752241235,"Quadratic","Cubic",0.866245046233225,0.0405720861033197,0,0.0307820437384385,0.030702786826693,0.0316980370983242,"Quadratic_w"
22,-44.0859401469859,-40.4962525410677,-63.6311882093022,-59.6974383856989,1e+06,-71.4981752692185,-81.4993297680837,1e+06,-67.5644254456151,-77.5655799444804,-14.551836549625,-10.6180867260217,"Baranyi","Baranyi",7.46129209860798e-09,0.000130921427733255,0,0.00668813864470732,0.993180932466264,2.88114378267538e-15,"Baranyi_w"
23,8.61943030876095,10.2975200596546,-22.8033605419374,-21.5807483533203,1e+06,-50.2708258721186,-48.3361011017937,1e+06,-49.0482136835015,-47.1134889131766,-32.9193989443809,-31.6967867557638,"Gompertz","Gompertz",1.18082002053338e-13,7.86241646246189e-07,0,0.724503280918485,0.275372273799193,0.000123659040558092,"Gompertz_w"
24,63.1691457956635,66.9716624489427,55.4752383261713,59.7030218239297,1e+06,-53.9929367528597,-53.0180264978612,1e+06,-49.7651532551012,-48.7902430001027,-55.05957584121,-50.8317923434516,"ThreePhase","ThreePhase",1.09043562675004e-26,5.10870483794941e-25,0,0.301316560876429,0.18506484586815,0.513618593255421,"ThreePhase_w"
25,63.7786833318766,66.9063075792006,46.5031947595344,49.7936774496418,1e+06,28.1737307049375,28.181990092452,1e+06,31.4642133950449,31.4724727825594,29.8154318816581,33.1059145717655,"Gompertz","Gompertz",7.61725042777233e-09,4.29658010793628e-05,0,0.410502173580238,0.408810420931157,0.180644432070275,"Gompertz_w"
26,71.5774058232275,74.7050300705515,58.1955118926753,61.4859945827827,1e+06,44.4070688001097,44.4070717483758,1e+06,47.6975514902171,47.6975544384832,44.4070688001097,47.6975514902171,"Gompertz","Gompertz",4.19535140600895e-07,0.000337761145823645,0,0.333220770176808,0.33322027896542,0.333220770176808,"Gompertz_w"
27,27.5236631974781,29.5348918344408,4.94714241741034,6.65235468420192,1e+06,14.9032412443211,12.9356999092015,1e+06,16.6084535111127,14.6409121759931,20.8480611327621,22.5532733995537,"Cubic","Cubic",1.2205674422852e-05,0.974969385760571,0,0.00671508613959461,0.0179596455182735,0.000343676907138193,"Cubic_w"
28,26.7786713936256,29.09842603512,-1.74608446503966,0.401974849900208,1e+06,12.0764562324988,11.8835949066305,1e+06,14.2245155474387,14.0316542215703,14.4488830657054,16.5969423806453,"Cubic","Cubic",6.38098063730152e-07,0.997606936777982,0,0.00099410643463405,0.00109474303223784,0.000303575657082022,"Cubic_w"
29,53.3247395648953,55.6444942063896,31.975233506727,34.1232928216669,1e+06,9.21321280630303,8.62711438753718,1e+06,11.3612721212429,10.775173702477,11.6509254779842,13.7989847929241,"Baranyi","Baranyi",1.00079179983294e-10,4.32842677087943e-06,0,0.379349982200352,0.508521972127602,0.112123717145196,"Baranyi_w"
30,44.2581522562457,46.57790689774,30.7682086778612,32.9162679928011,1e+06,-30.350690157877,-48.42155211074,1e+06,-28.2026308429371,-46.2734927958002,-6.72099861322923,-4.57293929828937,"Baranyi","Baranyi",7.49559610263887e-21,6.36957132866204e-18,0,0.000119099642409392,0.999880899476971,8.80619167555538e-10,"Baranyi_w"
31,2.38167299199522,4.05976274288891,-4.55753704361503,-3.33492485499791,1e+06,-19.0571217050725,-19.0511997557763,1e+06,-17.8345095164554,-17.8285875671592,-19.057121705364,-17.8345095167469,"ThreePhase","ThreePhase",7.37608184904696e-06,0.000236949633262219,0,0.333580645733663,0.332594382768944,0.333580645782282,"ThreePhase_w"
32,64.2545340442799,67.1300373437527,56.8199307876614,59.7564151751603,1e+06,25.2878759195461,29.9924121155356,1e+06,28.224360307045,32.9288965030345,30.500911103397,33.4373954908959,"Gompertz","Gompertz",2.95599623365861e-09,1.21648696895881e-07,0,0.855472744222224,0.0814008842000993,0.0631262469729837,"Gompertz_w"
