ID,Quadratic_AICc,Quadratic_BIC,Cubic_AICc,Cubic_BIC,Logistic_AICc,Gompertz_AICc,Baranyi_AICc,Logistic_BIC,Gompertz_BIC,Baranyi_BIC,ThreePhase_AICc,ThreePhase_BIC
78,28.9606761508994,28.4146674034949,20.0729899975573,17.9359336087563,NA,-7.85360640023641,-7.31525947739311,NA,-9.9906627890375,-9.4523158661942,-5.2079313322628,-7.3449877210639
79,62.7929863777644,63.2775503324259,62.7285941735422,62.180452963023,NA,-31.408696714045,-25.8099373608818,NA,-31.9568379245642,-26.358078571401,-18.3875499310551,-18.9356911415743
80,66.575220287863,67.0597842425246,63.3883074729964,62.8401662624772,NA,20.6483070336739,20.7913678526025,NA,20.1001658231547,20.2432266420833,20.8463343191228,20.2981931086036
81,37.4343697304167,36.8883609830122,32.9143463414164,30.7772899526153,NA,35.3427587418991,35.5272646632797,NA,33.205702353098,33.3902082744786,34.8777506062578,32.7406942174567
82,65.472367592748,65.4718876356395,61.5602634259097,60.2717846916453,NA,19.4754939751561,21.486187684574,NA,18.1870152408917,20.1977089503096,20.3862927643938,19.0978140301294
83,61.5652500701888,62.0498140248504,57.700057898153,57.1519166876338,NA,38.064828109961,38.2373695171332,NA,37.5166868994418,37.689228306614,38.2591485739931,37.7110073634739
84,33.0446284637886,31.8768292681974,30.1704192018658,27.0440035407102,NA,-2.28763186760979,-1.84898390802311,NA,-5.4140475287654,-4.97539956917872,1.4408783399316,-1.68553732122401
85,39.2361497419897,38.0683505463985,34.9542114211435,31.8277957599879,NA,4.12098146483762,2.40687110863573,NA,0.99456580368201,-0.719544552519887,19.80663072721,16.6802150660544
86,58.9644191079444,59.448983062606,58.3715876480933,57.8234464375741,NA,-36.7655643202628,-20.6768779525039,NA,-37.313705530782,-21.2250191630231,-13.4451026897357,-13.9932439002549
87,49.271457117697,49.2709771605885,46.1656770223304,44.877198288066,NA,10.6153568901796,12.8768942917676,NA,9.3268781559152,11.5884155575032,26.9165636111438,25.6280848768794
88,47.9640306235465,47.963550666438,42.6839051879562,41.3954264536918,NA,-24.8780779886256,-19.3148959514621,NA,-26.16655672289,-20.6033746857265,8.65266037971645,7.36418164545208
89,113.213884877621,120.16779592216,112.909147036311,121.361017803131,157.666306768635,100.313723368544,102.489278862163,164.620217813174,108.765594135364,110.941149628984,101.055457728809,109.50732849563
90,92.4667473491233,99.6063570047681,89.8380543473857,98.5329745802071,155.4167167786,65.6740027261418,72.5223103324388,162.556326434245,74.3689229589632,81.2172305652602,64.8423700602813,73.5372902931027
91,95.5803594446674,103.46324317782,60.2376344929296,69.9006765459399,163.097634082457,-25.5891525817649,-22.3472664188473,170.980517815609,-15.9261105287546,-12.684224365837,-23.8952488521593,-14.232206799149001
92,68.7079384621552,76.8108197253429,60.8234676077427,70.7717413178749,103.925595404604,41.8682970088859,23.0891468715873,112.028476667792,51.816570719018,33.0374205817194,73.3730169397539,83.321290649886
93,146.215409640413,153.618383942521,143.234833259173,152.273619010111,149.604030615376,122.935242764619,123.652261066239,157.007004917483,131.974028515557,132.691046817176,122.840954542582,131.87974029352
94,19.4869334009429,10.2758317102877,13.0656910176855,-5.94818609563337,16.9698011639267,11.634241780744,13.4033643356773,7.75869947327162,-7.37963533257493,-5.61051277764165,16.4553014272222,-2.5585756860967
95,32.9141196738194,19.8985525072055,45.5007051710289,15.8979128794281,30.0781216163032,36.7301059123996,39.3753602504354,17.0625544496892,7.12731362079876,9.77256795883457,34.0691334851702,4.46634119356935
96,39.8797090908588,37.9914939648754,26.2976192081391,21.9929058562154,32.9114113772835,15.4464679671637,19.7910005371737,31.0231962513001,11.14175461524,15.48628718525,20.8228257833243,16.5181124314006
97,34.9492733408153,29.8741877653421,26.9127173403179,16.9021937043098,29.4284691226422,12.591206823583,11.0610103476676,24.353383547169,2.5806831875749,1.05048671165943,9.25701922066534,-0.753504415342809
98,26.6338179213633,17.4227162307082,35.8894418732153,16.8755647598964,24.8300715165278,29.257557145657,32.626923139485,15.6189698258727,10.2436800323381,13.6130460261661,32.3803328632432,13.3664557499243
