"ID","Model1_AIC","Model1_AICc","Model1_BIC","Model1_R2","Model1_B1","Model2_AIC","Model2_AICc","Model2_BIC","Model2_R2","Model2_B1","Best_Model"
22,-45.8250705817685,-44.0859401469859,-40.4962525410677,0.984035246019904,0.008854060423271,-66.3584609365749,-63.6311882093022,-59.6974383856989,0.992860666141632,0.0124061470546624,"Cubic"
23,6.11943030876095,8.61943030876095,10.2975200596546,0.812581943119404,0.0114014342247884,-26.8033605419374,-22.8033605419374,-21.5807483533203,0.964470914197434,0.0241752588165894,"Cubic"
24,61.5024791289968,63.1691457956635,66.9716624489427,0.640099178891237,0.0140860012647512,52.8665426739974,55.4752383261713,59.7030218239297,0.750596499934465,0.0302006833937887,"Cubic"
25,61.8739214271147,63.7786833318766,66.9063075792006,0.421696100784931,0.0140274951278778,43.5031947595344,46.5031947595344,49.7936774496418,0.735825460153626,0.0412098325530842,"Cubic"
26,69.6726439184656,71.5774058232275,74.7050300705515,0.262332751537667,0.011695730851728,55.1955118926753,58.1955118926753,61.4859945827827,0.608589456335702,0.0398941939211153,"Cubic"
27,25.1707220210075,27.5236631974781,29.5348918344408,0.820899234179804,0.0181977350258868,1.19714241741034,4.94714241741034,6.65235468420192,0.945000102022022,0.0342250430923675,"Cubic"
28,24.5564491714034,26.7786713936256,29.09842603512,0.847812997533238,0.0182991373052611,-5.27549622974554,-1.74608446503966,0.401974849900208,0.961865765655166,0.033704180393621,"Cubic"
29,51.102517342673,53.3247395648953,55.6444942063896,0.667519710015039,0.0195058841196364,28.4458217420211,31.975233506727,34.1232928216669,0.886187730003024,0.0450624165019926,"Cubic"
30,42.0359300340235,44.2581522562457,46.57790689774,0.687007501703566,0.0154946712966467,27.2387969131553,30.7682086778612,32.9162679928011,0.849212872962246,0.0340224388216861,"Cubic"
31,-0.118327008004782,2.38167299199522,4.05976274288891,0.453552051601246,0.0048953328847764,-8.55753704361503,-4.55753704361503,-3.33492485499791,0.667601743457946,0.0124734415175346,"Cubic"
32,62.2545340442799,64.2545340442799,67.1300373437527,0.424605722835421,0.0136066922054842,53.6620360508193,56.8199307876614,59.7564151751603,0.623335230804637,0.0338128442479029,"Cubic"
33,45.6105219193025,47.8327441415247,50.1524987830191,0.563756995883808,0.0145896145815615,35.6381346197096,39.1675463844154,41.3156056993553,0.740784215728034,0.0328551714295828,"Cubic"
34,54.96079921999,57.1830214422122,59.5027760837066,0.548514098771677,0.018408279920376,43.2468759916345,46.7762877563404,48.9243470712802,0.751290235006401,0.0428188403612074,"Cubic"
35,49.1015423471325,50.5830238286139,54.9644859583314,0.67392501173259,0.0117678062082529,38.1754326324529,40.4831249401452,45.5041121464516,0.782285090642234,0.0247043023921696,"Cubic"
36,51.3444433579651,53.3444433579651,56.2199466574379,0.609363359084491,0.0163190690428807,34.32174833908,37.4796430759221,40.416127463421,0.817478126609536,0.0381571755303164,"Cubic"
37,65.9698788460066,68.1921010682288,70.5118557097232,0.472740488817754,0.0203103086851475,50.9449855629796,54.4743973276854,56.6224566426253,0.748490664788814,0.05964666377985,"Cubic"
38,73.2673373017309,75.4895595239531,77.8093141654475,0.533360451492325,0.0243469054132047,57.8338536567956,61.3632654215015,63.5113247364414,0.781326540380558,0.0614349666117365,"Cubic"
39,54.4213531461036,56.6435753683258,58.9633300098202,0.527775526796316,0.0176704028889914,38.607783385988,42.1371951506938,44.2852544656337,0.782336254901391,0.0438483296922339,"Cubic"
40,10.6564252234027,13.1564252234027,14.8345149742964,0.533024700932049,0.00722771283893388,-9.68992633798403,-5.68992633798403,-4.46731414936692,0.838877590368255,0.0196750505135586,"Cubic"
41,40.2422422518757,42.5951834283463,44.6064120653089,0.684926968219461,0.0175582625873584,19.3069235998021,23.0569235998021,24.7621358665937,0.888915633109226,0.0427069981437922,"Cubic"
42,68.8897212912856,70.371202772767,74.7526649024845,0.608763964784002,0.0135632449827957,61.5708641198069,63.8785564274992,68.8995436338056,0.707607592361474,0.0287931000946886,"Cubic"
43,29.5651551681077,32.0651551681077,33.7432449190014,0.858842434160375,0.0207875339074121,14.1609479363762,18.1609479363762,19.3835601249933,0.938372698301794,0.0395522415334539,"Cubic"
44,25.4821611044994,27.7043833267216,30.024137968216,0.846911445683285,0.0195621819582466,-16.6404784073531,-13.1110666426473,-10.9630073277074,0.977519665396909,0.0364460967631042,"Cubic"
45,22.4132248315057,28.1275105457914,24.3528514306577,0.846856691865154,0.0470284234715331,17.1555460547559,27.1555460547559,19.5800793036959,0.916356177715895,0.091324659480497,"Cubic"
46,13.3417045444091,16.6750378777425,16.674557920634,0.937691964896139,0.0340879785254603,-5.04510466805321,0.409440786492242,-0.879037947772131,0.981218613106728,0.0564533526757623,"Cubic"
47,17.0595337456721,21.0595337456721,19.891734550081,0.933061381316966,0.0665476300346735,10.2567550112547,16.9234216779214,13.7970060167657,0.962777100688111,0.0941276001393703,"Cubic"
48,26.9540358757729,30.9540358757729,29.7862366801818,0.897570966348727,0.0816080897723022,23.7959720071017,30.4626386737684,27.3362230126128,0.927375721568027,0.112184280155946,"Cubic"
49,29.6443227064742,34.0887671509186,32.2005520249352,0.840428993863207,0.0590109230388942,19.9984625424581,27.4984625424581,23.1937491905344,0.93054758456131,0.120512751818648,"Cubic"
50,30.8794999795737,34.8794999795737,33.7117007839826,0.810230548840513,0.06926428772659,23.7697226503141,30.4363893169808,27.3099736558252,0.896611738363081,0.139344580207397,"Cubic"
51,22.8739684946905,27.8739684946905,25.1337659245366,0.80181780651532,0.0600251881280943,14.2908728987334,22.8623014701619,17.115619686041,0.91219640017363,0.121229812894288,"Cubic"
52,20.581617018028,26.2959027323137,22.52124361718,0.838350758476993,0.0527555772055563,12.214192746184,22.214192746184,14.638725995124,0.931865970357384,0.11250761979119,"Cubic"
53,19.1071858214639,24.1071858214639,21.36698325131,0.675240241926727,0.0427399827519851,11.4414189094267,20.0128474808553,14.2661656967344,0.845597138359689,0.0935054656720914,"Cubic"
54,27.4367794499997,31.8812238944442,29.9930087684608,0.693131475120029,0.0587016456419985,22.7719727384896,30.2719727384896,25.9672593865659,0.809364776788047,0.11639339809447,"Cubic"
55,16.0760396255835,20.520484070028,18.6322689440446,0.799800179619324,0.0462705290559478,10.4167093578422,17.9167093578422,13.6119960059185,0.884158723213808,0.0886079797053897,"Cubic"
