term,estimate,std.error,statistic,p.value,ID,Model
Time,0.020787533907412118,0.0025820544423237027,8.050772891025689,2.239299892482128e-7,43,Quadratic
I(Time^2),-3.140617578666366e-5,5.16521564941867e-6,-6.080322278547718,9.564490544297738e-6,43,Quadratic
(Intercept),-5.420999273910282,0.2370445838429599,-22.869112578001992,3.3115596005716755e-14,43,Cubic
Time,0.039552241533453936,0.004374008236123887,9.042562198854917,6.626549279327592e-8,43,Cubic
I(Time^2),-1.2898566442195376e-4,2.112704811202356e-5,-6.1052383531302254,1.1662651850062552e-5,43,Cubic
I(Time^3),1.3369505007431873e-7,2.8543763317370336e-8,4.683862060787145,2.1339160063962498e-4,43,Cubic
(Intercept),-3.06844523075664,0.17851745177015563,-17.18848885826198,1.9053298387971902e-13,44,Quadratic
Time,0.01956218195824656,0.001896175691969064,10.316650530380134,1.868254368350414e-9,44,Quadratic
I(Time^2),-3.757951167126676e-5,4.010814953899205e-6,-9.369545118189254,9.348674258306014e-9,44,Quadratic
(Intercept),-3.5197844094147825,0.08228860132877105,-42.773657014196196,2.355393172544685e-20,44,Cubic
Time,0.03644609676310419,0.001771489966919748,20.5736964045449,1.903379609541842e-14,44,Cubic
I(Time^2),-1.3321145714180707e-4,9.237698538767165e-6,-14.420416143996084,1.098543522400792e-11,44,Cubic
I(Time^3),1.3627895383918367e-7,1.2970840567827599e-8,10.50656301930077,2.36054203900734e-9,44,Cubic
(Intercept),-3.800969924060887,0.27455743188884907,-13.843988479611287,2.2592419467445726e-7,45,Quadratic
Time,0.0470284234715331,0.010041088278127271,4.683598248406616,0.0011463702494928381,45,Quadratic
I(Time^2),-1.8801129234921813e-4,5.599928497059572e-5,-3.3573873746412954,0.008424054679178491,45,Quadratic
(Intercept),-4.273799866621953,0.2827579249611172,-15.114695254641068,3.6324105881262794e-7,45,Cubic
Time,0.09132465948049703,0.018898078113027992,4.832483966585971,0.0013005113327092686,45,Cubic
I(Time^2),-8.19208711798452e-4,2.487238616456744e-4,-3.2936474465223426,0.010962218960572348,45,Cubic
I(Time^3),2.2680099808180787e-6,8.796828138849437e-7,2.578213357155251,0.03270706691548182,45,Cubic
(Intercept),-3.044623598611542,0.17102793863984914,-17.80190782175604,5.179268906274768e-11,46,Quadratic
Time,0.03408797852546028,0.003037222731421079,11.22340425442257,2.196868168135322e-8,46,Quadratic
I(Time^2),-8.853102271663314e-5,1.105126305325499e-5,-8.010941581067296,1.3478358135194496e-6,46,Quadratic
(Intercept),-3.3893021399238235,0.11592429549207568,-29.237202827387538,3.022187153356676e-13,46,Cubic
Time,0.05645335267576233,0.004426881989252732,12.75239611374682,1.0043356491187051e-8,46,Cubic
I(Time^2),-3.114837489718093e-4,4.110394223724504e-5,-7.577953160161075,4.026950889578509e-6,46,Cubic
I(Time^3),5.51815758751876e-7,1.0053299933413515e-7,5.488901777592858,1.0409203019371713e-4,46,Cubic
(Intercept),-3.895987927752254,0.19952598863427956,-19.526217884795905,1.8449763755416475e-10,47,Quadratic
Time,0.06654763003467347,0.0072417689812258835,9.189416316261488,8.856198841868478e-7,47,Quadratic
I(Time^2),-2.789134385333887e-4,3.8007042670099046e-5,-7.338467266563096,8.993596334576412e-6,47,Quadratic
(Intercept),-4.230000574065403,0.1919757745040946,-22.0340331221072,1.8862890990420445e-10,47,Cubic
Time,0.09412760013937026,0.010882721406884609,8.649270400308456,3.0873127565082144e-6,47,Cubic
I(Time^2),-6.677704098912883e-4,1.3451921141183917e-4,-4.964126706384461,4.259967036692795e-4,47,Cubic
I(Time^3),1.3849046340156419e-6,4.673427400255082e-7,2.9633596831739633,0.012897574415572297,47,Cubic
(Intercept),-4.341688774964556,0.2758646563733306,-15.738474192536295,2.2405424604320757e-9,48,Quadratic
Time,0.08160808977230222,0.0104097424034453,7.839587821624913,4.623470606769729e-6,48,Quadratic
I(Time^2),-3.831968755060198e-4,6.0109512981873366e-5,-6.374978875998824,3.530927728482572e-5,48,Quadratic
(Intercept),-4.6560718076924426,0.2841767620349389,-16.384421352228614,4.484775727113774e-9,48,Cubic
Time,0.11218428015594561,0.01705612532042979,6.5773602180075175,3.9843824753672344e-5,48,Cubic
I(Time^2),-8.683476810990277e-4,2.3437793959477866e-4,-3.704903638116854,0.0034718271530887,48,Cubic
I(Time^3),1.923313555765027e-6,9.052152993707623e-7,2.1247028823993257,0.0571021946642909,48,Cubic
(Intercept),-4.289965782252049,0.2711322320082388,-15.822411634636236,6.489549648854477e-9,49,Quadratic
Time,0.05901092303889423,0.011234246641778651,5.25277082839187,2.714246313898568e-4,49,Quadratic
I(Time^2),-2.5462122987561405e-4,6.659386617107238e-5,-3.8234937317127655,0.0028260142376659177,49,Quadratic
(Intercept),-4.847847979874825,0.24327269925430864,-19.927628520317672,2.2234775601323747e-9,49,Cubic
Time,0.12051275181864754,0.01875984137452018,6.423974990658997,7.59593995273375e-5,49,Cubic
I(Time^2),-0.0011923460820377526,2.64369219916898e-4,-4.510154708678097,0.001125315080989082,49,Cubic
I(Time^3),3.5491831513444657e-6,9.852918548821592e-7,3.602164306705801,0.004830519118858583,49,Cubic
(Intercept),-2.928836983320116,0.22426887095955605,-13.059489579578315,1.8737425217209738e-8,50,Quadratic
Time,0.06926428772659005,0.012786732475616439,5.4168872195201585,1.5577003730937676e-4,50,Quadratic
I(Time^2),-3.9127121753945894e-4,9.63415309639084e-5,-4.061293334502205,0.0015780419175785293,50,Quadratic
(Intercept),-3.3233499470042784,0.2163978022221877,-15.357595654284923,8.891206998552492e-9,50,Cubic
Time,0.13934458020739685,0.025130773671406342,5.5447787652451925,1.7411610486348504e-4,50,Cubic
I(Time^2),-0.0017538634996174297,4.555600907242695e-4,-3.849905940682952,0.0026999381757656735,50,Cubic
I(Time^3),6.398320215127527e-6,2.1105500482940736e-6,3.03158895487894,0.011416857187184241,50,Cubic
(Intercept),-3.6517607974475084,0.21361341970047545,-17.0951843876098,9.894126517669908e-9,51,Quadratic
Time,0.06002518812809427,0.011108520757200452,5.403526665707172,2.9991781073363585e-4,51,Quadratic
I(Time^2),-3.608109336919836e-4,8.254079254257836e-5,-4.371304449322564,0.0013962449033851846,51,Quadratic
(Intercept),-4.0245320181436615,0.18639938939185244,-21.590907734591404,4.618003182334529e-9,51,Cubic
Time,0.12122981289428839,0.01979498961442762,6.124267567482319,1.7405021681218556e-4,51,Cubic
I(Time^2),-0.0015381873432038487,3.5479046603286086e-4,-4.335481052812115,0.0018899007575236234,51,Cubic
I(Time^3),5.505047869053582e-6,1.6366415692798703e-6,3.363624615422562,0.00834099763234064,51,Cubic
(Intercept),-3.3777033691560785,0.22306646478349673,-15.14213879004359,1.0393523366532054e-7,52,Quadratic
Time,0.05275557720555626,0.01100754632735587,4.792673647391199,9.837182437622447e-4,52,Quadratic
I(Time^2),-2.7490211471330504e-4,8.097604417669448e-5,-3.3948573001843916,0.007937750742987255,52,Quadratic
(Intercept),-3.767845122307829,0.19353780890664427,-19.46826381673724,5.0342798980582625e-8,52,Cubic
Time,0.11250761979119037,0.019560538245492094,5.7517650270753045,4.281293448434617e-4,52,Cubic
I(Time^2),-0.0014087435675352175,3.4668857208773965e-4,-4.06342660518586,0.0036162165998028027,52,Cubic
I(Time^3),5.267871313952209e-6,1.5897581871122006e-6,3.3136305613379538,0.010640511465122304,52,Cubic
(Intercept),-3.0376234964937097,0.18189203057635206,-16.700146162910745,1.2409699894766432e-8,53,Quadratic
Time,0.04273998275198509,0.009529901173402152,4.484829587873577,0.0011702389807901016,53,Quadratic
I(Time^2),-2.934977420643747e-4,7.114929035554678e-5,-4.125097251113956,0.002060251952142832,53,Quadratic
(Intercept),-3.328101478022564,0.16116674169731532,-20.650051263510793,6.8464862170971285e-9,53,Cubic
Time,0.09350546567209138,0.017535903842473523,5.332229608012152,4.7329203087763085e-4,53,Cubic
I(Time^2),-0.001280219892294587,3.1736905933758673e-4,-4.033852244345004,0.002955795524977119,53,Cubic
I(Time^3),4.638089954452683e-6,1.471857365473853e-6,3.1511816723894888,0.011715251099760609,53,Cubic
(Intercept),-3.3160206709065787,0.221155829183186,-14.994045977236619,1.1444314499809653e-8,54,Quadratic
Time,0.05870164564199853,0.012152788037118133,4.830302763670913,5.271098715519741e-4,54,Quadratic
I(Time^2),-3.9820965422432777e-4,9.133556628644243e-5,-4.359853126387598,0.0011365728176298264,54,Quadratic
(Intercept),-3.6366998812078783,0.22425138560058366,-16.217067606820677,1.6484555632833825e-8,54,Cubic
Time,0.11639339809446965,0.025432416122245206,4.576576505158028,0.0010159506543131124,54,Cubic
I(Time^2),-0.0015243168064599912,4.622614331077425e-4,-3.297521050398137,0.008047121588392922,54,Cubic
I(Time^3),5.30333174186652e-6,2.1477566928551048e-6,2.469242330618267,0.03314783263870692,54,Cubic
(Intercept),-3.0833229557184896,0.14947879445206844,-20.627159638400627,3.836425468609094e-10,55,Quadratic
Time,0.04627052905594781,0.008196621966400613,5.645072963669521,1.499080847322104e-4,55,Quadratic
I(Time^2),-2.819380099662113e-4,6.148229414192255e-5,-4.58567810295758,7.830368393913849e-4,55,Quadratic
(Intercept),-3.3335115758118543,0.1510535160386737,-22.068414315879856,8.183264152135361e-10,55,Cubic
Time,0.08860797970538971,0.016997153948849108,5.21310685142023,3.937712301271117e-4,55,Cubic
I(Time^2),-0.0010983939045232463,3.0650224198340857e-4,-3.583640685351672,0.004981463515383199,55,Cubic
I(Time^3),3.822765676957728e-6,1.4165920793301358e-6,2.6985649099248104,0.02236840063279729,55,Cubic
(Intercept),-3.305091750228721,0.15667333594597677,-21.095432290842165,1.9361310432715338e-11,56,Quadratic
Time,0.06554045518866908,0.009354461132655378,7.006331445418558,9.25329747432657e-6,56,Quadratic
I(Time^2),-3.4623791220708e-4,7.127296341846064e-5,-4.857913795084319,3.127001798015294e-4,56,Quadratic
(Intercept),-3.633927473075105,0.12173193212436509,-29.851883640215068,1.2484504010183763e-12,56,Cubic
Time,0.12782999778972454,0.01480630099058375,8.63348636982455,1.7089277293373529e-6,56,Cubic
I(Time^2),-0.0015749023045695232,2.7181838150087376e-4,-5.793950710299777,8.553796520079658e-5,56,Cubic
I(Time^3),5.822502848561806e-6,1.270553447572247e-6,4.582650859503275,6.295381105347049e-4,56,Cubic
(Intercept),-1.271122097663104,0.29449162774675286,-4.316326774342805,8.375602210875719e-4,57,Quadratic
Time,0.037831715692155175,0.01754269815957651,2.156550568676515,0.05035018109501138,57,Quadratic
I(Time^2),-2.240471949164105e-4,1.3331138832027293e-4,-1.6806305728221058,0.11668933089943255,57,Quadratic
(Intercept),-1.6694081054238619,0.33511362588256743,-4.98161810349325,3.189871698073273e-4,57,Cubic
Time,0.11109084903855448,0.04056583682562886,2.7385321672538265,0.017980164728309142,57,Cubic
I(Time^2),-0.0016596120447397037,7.413206731036912e-4,-2.2387235442813123,0.04490016851381663,57,Cubic
I(Time^3),6.777384535402677e-6,3.453097942132772e-6,1.9626968736417283,0.07328664120371951,57,Cubic
(Intercept),-2.7625720012726096,0.30814806667665795,-8.965079778259316,6.292240205520873e-7,58,Quadratic
Time,0.074463503445304835,0.018293990444344533,4.070380580543309,0.0013247063767888548,58,Quadratic
I(Time^2),-4.554066389220626e-4,1.3876868646516775e-4,-3.281768030832907,0.005952929117967668,58,Quadratic
(Intercept),-3.3306528110537332,0.30038740998945124,-11.087857547593943,1.1608696382741226e-7,58,Cubic
Time,0.17752993664824737,0.03601634239811625,4.9291495145696045,3.4839227862501693e-4,58,Cubic
I(Time^2),-0.0024723798953735538,6.568833342141783e-4,-3.763803656750148,0.0027021239193566722,58,Cubic
I(Time^3),9.514629824919168e-6,3.056975139200996e-6,3.1124328434695787,0.00898016544877304,58,Cubic
(Intercept),-6.580039829674214,0.2117173492329191,-31.079360541375554,2.5609474653719522e-14,59,Quadratic
Time,0.1231433760708102,0.01297151009262004,9.4933724131989,1.7716926735664707e-7,59,Quadratic
I(Time^2),-5.844481983977944e-4,9.886963396457085e-5,-5.91130132642371,3.7930483468686503e-5,59,Quadratic
